VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee
2,1693527845000000,1693528266000000,2,2.9,1,N,132,216,2,13.5,1.0,0.5,0.0,0.0,1.0,17.75,0.0,1.75
2,1693526716000000,1693527454000000,1,2.6,1,N,186,144,1,14.9,1.0,0.5,3.98,0.0,1.0,23.88,2.5,0.0
2,1693526747000000,1693527447000000,1,2.25,1,N,114,230,1,13.5,1.0,0.5,3.7,0.0,1.0,22.2,2.5,0.0
2,1693526907000000,1693529903000000,2,18.71,2,N,132,143,1,70.0,0.0,0.5,14.8,0.0,1.0,90.55,2.5,1.75
1,1693528940000000,1693529197000000,0,0.3,1,Y,48,68,1,5.1,3.5,0.5,2.0,0.0,1.0,12.1,2.5,0.0
1,1693528333000000,1693530406000000,1,0.0,1,N,68,225,1,27.5,0.0,0.5,0.0,0.0,1.0,29.0,0.0,0.0
2,1693527271000000,1693527531000000,4,0.89,1,N,93,253,2,6.5,1.0,0.5,0.0,0.0,1.0,9.0,0.0,0.0
2,1693528506000000,1693530515000000,2,15.19,1,N,93,181,1,60.4,1.0,0.5,5.0,0.0,1.0,70.4,2.5,0.0
1,1693526483000000,1693526780000000,1,0.7,1,N,144,211,1,6.5,3.5,0.5,2.3,0.0,1.0,13.8,2.5,0.0
1,1693527694000000,1693529573000000,1,9.2,1,N,90,244,1,42.9,3.5,0.5,10.0,0.0,1.0,57.9,2.5,0.0
2,1693529056000000,1693529629000000,1,1.59,1,N,230,186,1,10.7,1.0,0.5,3.14,0.0,1.0,18.84,2.5,0.0
2,1693529708000000,1693530510000000,1,1.88,1,N,68,137,1,13.5,1.0,0.5,3.7,0.0,1.0,22.2,2.5,0.0
2,1693526921000000,1693528620000000,4,4.62,1,N,144,237,1,28.9,1.0,0.5,6.78,0.0,1.0,40.68,2.5,0.0
2,1693526616000000,1693527280000000,3,1.8,1,N,48,158,1,12.8,1.0,0.5,3.56,0.0,1.0,21.36,2.5,0.0
2,1693527450000000,1693528651000000,1,2.74,1,N,158,163,1,19.1,1.0,0.5,6.03,0.0,1.0,30.13,2.5,0.0
2,1693529567000000,1693530116000000,1,1.01,1,N,234,125,1,10.0,1.0,0.5,3.75,0.0,1.0,18.75,2.5,0.0
1,1693526790000000,1693527012000000,2,0.4,1,N,125,231,1,5.1,3.5,0.5,2.0,0.0,1.0,12.1,2.5,0.0
1,1693527152000000,1693528235000000,1,4.6,1,N,231,143,1,22.6,3.5,0.5,5.5,0.0,1.0,33.1,2.5,0.0
2,1693527992000000,1693528267000000,2,1.02,1,N,79,137,1,7.2,1.0,0.5,2.44,0.0,1.0,14.64,2.5,0.0
