VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee
2,1630455984000000,1630456849000000,1.0,4.76,1.0,N,114,263,1,15.5,0.5,0.5,3.86,0.0,0.3,23.16,2.5,0.0
2,1630456928000000,1630457031000000,1.0,0.77,1.0,N,263,75,2,4.0,0.5,0.5,0.0,0.0,0.3,7.8,2.5,0.0
2,1630457736000000,1630457886000000,1.0,0.64,1.0,N,107,233,1,4.0,0.5,0.5,1.56,0.0,0.3,9.36,2.5,0.0
2,1630455675000000,1630456786000000,1.0,1.36,1.0,N,164,230,2,12.5,0.5,0.5,0.0,0.0,0.3,16.3,2.5,0.0
2,1630456236000000,1630457893000000,5.0,12.23,1.0,N,164,14,1,36.5,0.5,0.5,2.0,0.0,0.3,42.3,2.5,0.0
2,1630454536000000,1630456135000000,1.0,10.61,1.0,N,233,47,2,32.0,0.5,0.5,0.0,0.0,0.3,35.8,2.5,0.0
2,1630453726000000,1630454264000000,1.0,2.02,1.0,N,170,48,1,8.5,0.5,0.5,3.08,0.0,0.3,15.38,2.5,0.0
2,1630454385000000,1630454657000000,1.0,0.94,1.0,N,48,161,1,5.5,0.5,0.5,1.86,0.0,0.3,11.16,2.5,0.0
2,1630454951000000,1630455279000000,1.0,1.1,1.0,N,237,262,2,6.0,0.5,0.5,0.0,0.0,0.3,9.8,2.5,0.0
2,1630456569000000,1630458249000000,1.0,12.08,1.0,N,170,14,1,36.0,0.5,0.5,5.0,0.0,0.3,44.8,2.5,0.0
1,1630454782000000,1630456158000000,2.0,15.1,1.0,Y,132,149,1,41.5,0.5,0.5,5.0,0.0,0.3,47.8,0.0,0.0
1,1630456759000000,1630458140000000,2.0,11.1,1.0,N,138,230,1,32.5,4.25,0.5,4.0,6.55,0.3,48.1,2.5,1.25
1,1630454833000000,1630455386000000,1.0,3.6,1.0,N,79,80,1,12.5,3.0,0.5,3.26,0.0,0.3,19.56,2.5,0.0
1,1630456156000000,1630456779000000,1.0,3.4,1.0,N,114,237,1,11.5,3.0,0.5,3.05,0.0,0.3,18.35,2.5,0.0
2,1630454529000000,1630455161000000,1.0,4.01,1.0,N,107,263,2,12.5,0.5,0.5,0.0,0.0,0.3,16.3,2.5,0.0
2,1630455834000000,1630456156000000,1.0,1.57,1.0,N,162,237,1,6.5,0.5,0.5,2.06,0.0,0.3,12.36,2.5,0.0
2,1630456566000000,1630457043000000,1.0,1.89,1.0,N,162,79,1,8.5,0.5,0.5,2.46,0.0,0.3,14.76,2.5,0.0
2,1630457525000000,1630459218000000,1.0,15.43,1.0,N,170,254,2,43.5,0.5,0.5,0.0,0.0,0.3,47.3,2.5,0.0
2,1630454844000000,1630455310000000,1.0,1.22,1.0,N,161,233,1,7.0,0.5,0.5,2.16,0.0,0.3,12.96,2.5,0.0
2,1630455785000000,1630457204000000,1.0,7.33,1.0,N,230,159,1,24.5,0.5,0.5,3.0,0.0,0.3,31.3,2.5,0.0
1,1630456603000000,1630458179000000,1.0,12.7,1.0,N,138,143,1,36.0,4.25,0.5,11.85,6.55,0.3,59.45,2.5,1.25
2,1630455105000000,1630455283000000,2.0,1.2,1.0,N,90,125,1,5.5,0.5,0.5,2.0,0.0,0.3,11.3,2.5,0.0
2,1630455910000000,1630456285000000,1.0,1.54,1.0,N,68,137,1,7.0,0.5,0.5,2.16,0.0,0.3,12.96,2.5,0.0
2,1630456658000000,1630457992000000,1.0,8.86,1.0,N,234,129,1,28.0,0.5,0.5,6.36,0.0,0.3,38.16,2.5,0.0
2,1630456437000000,1630456448000000,1.0,0.0,1.0,N,132,132,2,2.5,0.5,0.5,0.0,0.0,0.3,5.05,0.0,1.25
2,1630456472000000,1630458802000000,1.0,18.65,2.0,N,132,48,1,52.0,0.0,0.5,12.37,6.55,0.3,75.47,2.5,1.25
2,1630455013000000,1630455304000000,5.0,1.63,1.0,N,237,263,1,6.5,0.5,0.5,2.06,0.0,0.3,12.36,2.5,0.0
2,1630455624000000,1630456811000000,3.0,9.29,1.0,N,237,40,1,26.5,0.5,0.5,6.06,0.0,0.3,36.36,2.5,0.0
2,1630454993000000,1630455897000000,1.0,5.78,1.0,N,263,244,1,18.5,0.5,0.5,0.0,0.0,0.3,22.3,2.5,0.0
1,1630455583000000,1630455587000000,1.0,0.0,1.0,N,132,132,3,2.5,1.75,0.5,0.0,0.0,0.3,5.05,0.0,1.25
1,1630455627000000,1630457188000000,1.0,18.5,2.0,N,132,148,1,52.0,3.75,0.5,0.0,0.0,0.3,56.55,2.5,1.25
1,1630457443000000,1630458228000000,2.0,4.2,1.0,N,148,161,1,14.5,3.0,0.5,1.7,0.0,0.3,20.0,2.5,0.0
