VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee,cbd_congestion_fee
1,1756688338000000,1756688882000000,1,1.1,1,N,249,79,1,9.3,4.25,0.5,3.0,0.0,1.0,18.05,2.5,0.0,0.75
1,1756685750000000,1756687035000000,1,8.8,1,N,107,42,1,36.6,4.25,0.5,10.6,0.0,1.0,52.95,2.5,0.0,0.75
2,1756688164000000,1756689983000000,2,9.37,1,N,138,75,1,42.2,6.0,0.5,10.44,0.0,1.0,64.39,2.5,1.75,0.0
2,1756685126000000,1756685510000000,1,0.54,1,N,114,211,1,7.2,1.0,0.5,2.59,0.0,1.0,15.54,2.5,0.0,0.75
2,1756685750000000,1756686064000000,1,1.39,1,N,249,107,1,7.9,1.0,0.5,2.73,0.0,1.0,16.38,2.5,0.0,0.75
2,1756687846000000,1756688195000000,1,1.99,1,N,229,79,1,10.0,1.0,0.5,2.0,0.0,1.0,17.75,2.5,0.0,0.75
2,1756685718000000,1756687356000000,1,2.59,1,N,68,144,1,24.7,1.0,0.5,6.09,0.0,1.0,36.54,2.5,0.0,0.75
2,1756687725000000,1756688634000000,1,3.83,1,N,114,239,1,19.1,1.0,0.5,4.97,0.0,1.0,29.82,2.5,0.0,0.75
1,1756685276000000,1756686125000000,1,3.0,1,N,68,237,1,15.6,4.25,0.5,5.35,0.0,1.0,26.7,2.5,0.0,0.75
2,1756686090000000,1756687801000000,1,16.39,1,N,132,255,1,61.8,1.0,0.5,16.07,0.0,1.0,82.12,0.0,1.75,0.0
2,1756684869000000,1756685655000000,1,4.64,1,N,75,170,1,21.2,1.0,0.5,2.0,0.0,1.0,28.95,2.5,0.0,0.75
2,1756686009000000,1756687344000000,2,5.52,1,N,186,80,1,26.8,1.0,0.5,6.51,0.0,1.0,39.06,2.5,0.0,0.75
2,1756685359000000,1756685624000000,2,1.26,1,N,162,164,1,7.9,1.0,0.5,2.73,0.0,1.0,16.38,2.5,0.0,0.75
2,1756686870000000,1756687206000000,1,0.93,1,N,125,249,1,7.9,1.0,0.5,0.0,0.0,1.0,13.65,2.5,0.0,0.75
2,1756687907000000,1756688738000000,1,3.1,1,N,114,233,1,17.0,1.0,0.5,4.55,0.0,1.0,27.3,2.5,0.0,0.75
2,1756685260000000,1756685312000000,1,0.01,2,N,100,100,2,70.0,0.0,0.5,0.0,0.0,1.0,74.75,2.5,0.0,0.75
2,1756685335000000,1756686117000000,1,1.08,1,N,100,162,1,12.1,1.0,0.5,3.57,0.0,1.0,21.42,2.5,0.0,0.75
